name,blockname(java),id,old_id,x方向の長さ,z方向の長さ,深さ,確率,旗,船かどうか,占領時コマンド,出現バイオーム,,,,,,,,,,,,,,max
ダンジョン_キャンプ,gvcr2_block_building_camp,camp,ds1,7,7,0,0.5,S,F,,all,;overworld,F;ocean,F;river,,,,,,,,,,,
ダンジョン_雪原キャンプ,gvcr2_block_building_camp_sn,camp_sn,,16,16,5,0.5,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_ゲリラのアジト,gvcr2_block_building_hideout,hideout,ds2,16,16,5,0.2,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_ゲリラのアジト_砂漠仕様,gvcr2_block_building_hideout_de,hideout_de,ds2_d,16,16,5,0.2,S,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_ゲリラのアジト_雪原仕様,gvcr2_block_building_hideout_sn,hideout_sn,,16,16,5,0.2,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_機関銃陣地,gvcr2_block_building_mg_place,mg_place,ds3,9,9,5,0.2,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_機関銃陣地_砂漠仕様,gvcr2_block_building_mg_place_de,mg_place_de,ds3_d,9,9,5,0.2,S,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_機関銃陣地_雪原仕様,gvcr2_block_building_mg_place_sf,mg_place_sf,ds3_s,9,9,5,0.2,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_対戦車陣地,gvcr2_block_building_cannonplace,cannonplace,ds4,9,9,5,0.2,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_対戦車陣地_砂漠仕様,gvcr2_block_building_cannonplace_de,cannonplace_de,ds4_d,9,9,5,0.2,S,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_対戦車陣地_雪原仕様,gvcr2_block_building_cannonplace_sf,cannonplace_sf,ds4_s,9,9,5,0.2,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_トーチカ,gvcr2_block_building_bunker,bunker,ds5,10,10,7,0.2,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_トーチカ_砂漠仕様,gvcr2_block_building_bunker_de,bunker_de,ds5_d,10,10,7,0.2,S,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_放棄されたトーチカ,gvcr2_block_building_munitions_depot,depot,ds6,10,10,7,0.2,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_放棄されたトーチカ_砂漠仕様,gvcr2_block_building_munitions_depot_de,depot_de,ds6_d,10,10,7,0.2,S,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_かまくら,gvcr2_block_building_igloo,igloo,,16,16,6,0.5,S,F,,any,;cold,;ice,,,,,,,,,,,,
ダンジョン_野戦通信所,gvcr2_block_building_radiobase,radiobase,,23,19,6,0.1,S,F,,all,;overworld,F;desert,F;cold,F;ice,F;ocean,F;river,,,,,,,,
ダンジョン_砂漠野戦通信所,gvcr2_block_building_radiobase_de,radiobase_de,,23,19,6,0.1,S,F,,all,;desert,,,,,,,,,,,,,
ダンジョン_雪原野戦通信所,gvcr2_block_building_radiobase_sn,radiobase_sn,,23,19,6,0.1,S,F,,any,;cold,;ice,,,,,,,,,,,,
